"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSDataSet","EHDSDataSet","","","",0,*,"","","","null {[]} {[]}
","EHDS data exchange","Common elements for all EHDS data exchange.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSDataSet.identifier","EHDSDataSet.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Document ID","Unique identifier of the data object","","","","","","","","","",,,,,"",,,,"EHDSDataSet.identifier",0,*,"",""
"EHDSDataSet.subject","EHDSDataSet.subject","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPerson {[]} {[]}
","Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.subject",0,1,"",""
"EHDSDataSet.country","EHDSDataSet.country","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Country","Country of the data exchange initiator.","","","","","","","","","",,"preferred","ISO 3166","","",,,,"EHDSDataSet.country",0,1,"",""
"EHDSDataSet.relatedPerson","EHDSDataSet.relatedPerson","","","",0,*,"","","","BackboneElement {[]} {[]}
","Related person","Patient/subject guardian and related person information","","Some roles for the related person are essential for data access control. For example, the role of the guardian is essential for the data access control of a minor patient.","","","","","","","",,,,,"#A.1.2
",,,,"EHDSDataSet.relatedPerson",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"EHDSDataSet.relatedPerson.id","EHDSDataSet.relatedPerson.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"EHDSDataSet.relatedPerson.extension","EHDSDataSet.relatedPerson.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"EHDSDataSet.relatedPerson.modifierExtension","EHDSDataSet.relatedPerson.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"EHDSDataSet.relatedPerson.person","EHDSDataSet.relatedPerson.person","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPerson {[]} {[]}
","Identification and description of the person","Identification and description of the contact person for that patient. This includes relatives, guardians, caring persons etc.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.relatedPerson.person",0,1,"",""
"EHDSDataSet.relatedPerson.relationship","EHDSDataSet.relatedPerson.relationship","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Relationship","The nature of the relationship between the patient and the related person.","","Some roles for the related person are essential for data access control. For example, the role of the guardian is essential for the data access control of a minor patient.","","","","","","","",,"preferred","HL7 RoleCode","","#C.13.3
",,,,"EHDSDataSet.relatedPerson.relationship",0,1,"",""
"EHDSDataSet.authorship","EHDSDataSet.authorship","","","",1,*,"","","","Base {[]} {[]}
","Authorship","Document/resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSDataSet.authorship",1,*,"",""
"EHDSDataSet.authorship.author","EHDSDataSet.authorship.author","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","Author","Author by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"#A.1.6.1
",,,,"EHDSDataSet.authorship.author",1,1,"",""
"EHDSDataSet.authorship.datetime","EHDSDataSet.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of the issuing the document/resource by its author.","","","","","","","","","",,,,,"#A.1.6.2
",,,,"EHDSDataSet.authorship.datetime",1,1,"",""
"EHDSDataSet.lastUpdate","EHDSDataSet.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the data object","Date and time of the last update to the document/information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.lastUpdate",0,1,"",""
"EHDSDataSet.status","EHDSDataSet.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the information","Status of the information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.status",1,1,"",""
