Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.eu.fhir.xt-ehr.metadata.json	6644	-	0	0	0	0	0	0	6	75	0	0	0	0	0	0	0	1	0	0	56	73	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-AD.json	698	21	0	8	0	0	0	0	0	29	0	0	1	0	0	0	0	0	0	0	31	553	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ANY.json	892	14	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	24	130	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BL.json	697	13	0	14	0	0	1	0	0	12	0	0	0	0	0	0	0	1	0	0	49	109	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CD.json	665	14	0	13	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	22	100	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Class.json	640	13	0	13	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	28	103	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DT.json	562	12	0	11	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	29	78	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-EN.json	703	12	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	24	83	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-INT.json	770	4	0	8	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	23	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-InstanceIdentifier.json	838	3	0	9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	25	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PQ.json	864	4	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	26	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-QT.json	574	4	0	8	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	22	54	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-REAL.json	809	3	0	10	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	27	55	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-RTO.json	674	2	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	20	54	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ST.json	575	3	0	8	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	19	53	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-TS.json	694	3	0	12	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	21	52	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Untyped.json	690	5	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	51	0	0	0	1	0	0
