"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSDocument","EHDSDocument","","","",0,*,"","","","null {[]} {[]}
","Common model for EHDS document exchange","Common header elements for all EHDS document exchange.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSDocument.identifier","EHDSDocument.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Document ID","Unique identifier of the data object","","","","","","","","","",,,,,"",,,,"EHDSData.identifier",0,*,"",""
"EHDSDocument.patient","EHDSDocument.patient","","","",0,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSData.patient",0,1,"",""
"EHDSDocument.country","EHDSDocument.country","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Country","Country of the data exchange initiator.","","","","","","","","","",,,,,"",,,,"EHDSData.country",0,1,"",""
"EHDSDocument.subject","EHDSDocument.subject","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSPatient {[]} {[]}
","Subject","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSStructuredData.subject",1,1,"",""
"EHDSDocument.authorship","EHDSDocument.authorship","","","",1,*,"","","","Base {[]} {[]}
","Authorship","Document/resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSStructuredData.authorship",1,*,"",""
"EHDSDocument.authorship.author","EHDSDocument.authorship.author","","","",1,1,"","","","https://www.xt-ehr.eu/specifications/fhir/StructureDefinition/EHDSHealthProfessional {[]} {[]}
","Author","Author by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"#A.1.6.1
",,,,"EHDSStructuredData.authorship.author",1,1,"",""
"EHDSDocument.authorship.datetime","EHDSDocument.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of the issuing the document/resource by its author.","","","","","","","","","",,,,,"#A.1.6.2
",,,,"EHDSStructuredData.authorship.datetime",1,1,"",""
"EHDSDocument.lastUpdate","EHDSDocument.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource","Date and time of the last update to the document/information","","","","","","","","","",,,,,"",,,,"EHDSStructuredData.lastUpdate",0,1,"",""
"EHDSDocument.status","EHDSDocument.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource","Status of the resource","","","","","","","","","",,,,,"",,,,"EHDSStructuredData.status",1,1,"",""
