Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.eu.fhir.xt-ehr.foundation.json	8502	-	0	0	0	0	0	0	3	74	0	0	0	0	0	0	0	0	0	0	64	89	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-Glossary.json	694	21	0	0	0	0	0	0	1	11	0	0	1	0	0	0	0	1	0	0	13	1599	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AD.json	698	18	0	8	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	25	460	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-ANY.json	892	18	0	11	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	25	86	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BL.json	697	18	0	14	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	22	71	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-CD.json	665	18	0	14	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	25	69	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Class.json	640	18	0	15	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	35	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DT.json	562	3	0	12	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	27	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSData.json	1786	4	0	13	1	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	35	62	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EHDSDocument.json	8776	9	0	44	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	106	179	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-EHDSHealthProfessional.json	4902	40	0	16	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	43	83	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSOrganization.json	3961	5	0	14	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	43	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSPatient.json	5789	6	0	16	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	49	98	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSStructuredData.json	4397	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	52	129	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EN.json	703	3	0	12	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	24	48	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-INT.json	770	4	0	13	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	31	50	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-InstanceIdentifier.json	838	3	0	12	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	23	49	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PQ.json	864	3	0	13	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	26	54	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-QT.json	574	3	0	13	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	21	49	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-REAL.json	809	3	0	13	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	20	47	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-RTO.json	674	3	0	12	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	46	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ST.json	575	3	0	13	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	25	48	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-TS.json	694	3	0	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	31	46	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Untyped.json	690	3	0	13	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	43	47	0	0	0	1	0	0
